idx,sample_type,conversation_id,mentee,mentor,question,reply,reply_words,h_Q0,h_Q1,h_Q2,h_Q3,h_Q4,h_Q5,h_R0,h_R1,h_R2,h_R3,h_R5,Q0,Q1,Q2,Q3,Q4,Q5,R0,R1,R2,R3,R5,notes
65,enriched,14718,Elemental118,Kingsif,"Hi, and thank you for being my editing mentor!! I wanted to start with changing some BC and AD to BCE and CE, and I was wondering if that's ok and supported. Thank you again!!","Hi, we have a Manual of Style, which has a section all about this, see: [POLICY]. There is not a one-size-fits-all rule, with the guidance being that AD/BC or BCE/CE should be used variously and depending on context - when creating new articles. The overall guidance is that where one style already exists, it should not be changed unless there is good reason. This usually comes after a consensus-seeking discussion, i.e. an RFC. Long answer short: no, don't do that, it won't get your editing off to a good start.",90,1,无,0,0,0,1,1,1,0,1,0,,,,,,,,,,,,
66,random,27274,EricaHopkins,Cremastra,Hi! My boss is trying to have me create a wiki page for our company. What formats are accepted for the page?,"Hi! Please tell your boss that you're sorry, but Wikipedia policy does not permit this kind of editing. See [POLICY] for the reasons why. In short, this is an encyclopedia, not a vehicle for corporate promotion. It'd be odd if our articles on cities were written by the city's tourism bureaus – and for the same reason, you are most strongly discouraged from writing about your company, even if you're not getting paid for it.",75,1,无,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,
67,random,6632,Northsidehoodie,GoingBatty,How can I add an image?,"@: First, you should read the [POLICY], and then if you want to continue, you could use the [POLICY]. If you tell me what image you want to add, I can give more specific advice. Happy editing!",37,1,无,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,
68,enriched,30586,*kingdizayee*,Reconrabbit,Hello how to add picture,What do you want to add a picture of @?,10,1,无,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
69,enriched,40527,BlackMiomi,Scope creep,Hello i would like to know why my drafts are being deleted even though they are verified facts,"Hi How are you? I'm assuming its this draft here [DRAFT] your talking about. It's not been deleted. On the 9th April it was reviewed and it didn't pass the review. The reason for that is that large sections of the article are unsourced. The message that was left doesn't really doesn't tell you whats going on although it does say its ""not supported by reliable sources"" meaning it is missing references. That means the article fails [POLICY]. Whole sections of the article are unsourced, for example the ""Geography"" section. Each sentence generally needs a source. Your 3 references while not standard are not bad. If they were in a standard it would be easier on the reviewer. Take a look at [POLICY]. There is a wee video half-way down which describes how they are created. I see you missted the tag. I've added that in, which rationalises your refs in a correct place and seems to fix a whole bunch red links at the bottom. Your also missing page numbers, which will make it difficult to reader to find your refeences. So what its needs before its resubmitted it to 1) Add more references. 2) Try and make them standard looking 3) Add page numbers so folk can find the page. Hope that helps. '",216,1,无,0,0,1,1,1,0,0,0,1,,,,,,,,,,,,
70,enriched,21390,Arilynndh,Blaze Wolf,"Hello, I was wondering if you knew anything about un-deleting a page. I know that it didn't meet all the requirements and I understand that but someone deleted the page before I could even edit it. I am new to wikipedia, but would love to get my page un-deleted so it could follow the guidelines. This person disrespected me and my journalism ethics and I don't find that quite fair. To add onto my last question. I would like to say that my work has been looked over by my boss at the job I work at, and was not just thrown together to throw together. This is an assignment my job gave me and I would like to not get fired for trying to do something on this website.","No one ""disrespected"" you, and no one is going to restore your page. Your relationship with your boss has nothing to do with Wikipedia.",24,1,正面,1,0,1,1,1,0,0,0,0,,,,,,,,,,,,
71,enriched,34258,Jackyja1ckyjacky,Rambley,how to create page?,[HELP_PAGE],1,1,无,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
72,random,20735,PhoebeHughes44,A09,"Hello, Could you let me know what the process is to create my own company page? What do I have to do before this is possible?","@: Hi and welcome, I suggest looking at [POLICY] first – writing about oneself is strongly discouraged. You must publish any article through [POLICY] and have every connection disclosed. See also [POLICY] that any company should surpass before having a Wikipedia article. '|",43,1,无,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,
73,random,31701,Shmiliev Pavlo,Tenshi Hinanawi,Hello! My draft about Cherie Westell is ready for review. Could you please check if it can be moved to the mainspace? After publication I will add the image back to the infobox. Thank you!,"Most if not all of the draft is unsourced. Once that has been fixed, you can submit it using the template I have added to the draft for review. ([TALK_PAGE])",30,1,无,0,0,0,1,1,0,0,0,1,,,,,,,,,,,,
74,random,17408,GSXO,HouseBlaster,"Hello! I have a fantasy wrestling league that I've been working on for 2017 and I feel like it would be cool to share it and explain it to the world, while there is no official ""proof"" that it exists since it is completely fantasy and only written on paper, with no actual live events being promoted or taking place. Will this be possible to even publish?","Hello! Unfortunately, it does not seem like you would be able to publish something like that. Wikipedia's ""[POLICY]"" is that articles need to have significant coverage in independent, reliable sources. We have plenty of articles on things that do not exist (e.g. [WIKILINK], [WIKILINK]), but they have to be covered by in detail by independent sources before they can have a Wikipedia article.",63,1,正面,0,0,0,1,1,0,0,0,0,,,,,,,,,,,,
75,random,11258,Celestine Yitah,Shushugah,How to type in Microsoft word,"@ the article [WIKILINK] is an Encyclopedic entry ABOUT Microsoft word. To actually edit a Microsoft word document, Wikipedia is not the right platform for that. See [POLICY] if it's related to IT support though.",35,1,无,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,
76,enriched,30361,CliffWritesArts,Lordseriouspig,hi nice to meet you.,Hi!,1,1,无,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
77,enriched,27431,RuslanMustafayev1977,Matrix,"How do you do? My name is Ruslan. I work in energy sector my working experience approximately 25 years. I created Wikipedia page 2 share the story of my parents who were great scientists I edited everything in line is requirements of Wikipedia, but unfortunately, somehow my article weren’t published yet has been already more than a month. Could you possibly help me or at least navigate me? What shall I do?","that's because you haven't submitted your draft. If you are finished, you need to go to and click ""submit for review"", which I have added. Please remember you need to have a [POLICY] to qualify for a Wikipedia article. —' [TEMPLATE_REF] mewhen u reply ( - )",47,1,无,0,0,0,1,1,1,1,0,1,,,,,,,,,,,,
78,random,32022,NOBODYHERE why you still here,楊文祖,Hi how do I confirm things,"Hello, to confirm things you can refer to User contributions",10,1,无,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,
79,random,34446,Frank Rivers Jónsdóttir,Ca,Hi there's no media option to put in the image. Am I doing it wrong I need a tutorial lol... I know ur probably busy but the wiki tutorial was too complicated so can you explain it simpler for me pls? Thanks mentor bro,"Hi, to upload an image, first go to our sister project Wikimedia Commons ([LINK] Then click the upload button and follow the instructions provided. To insert the photo you uploaded to Wikipedia, copy and paste this wiki markup: (replace YOURFILENAME with your actual file name). Please let me know if you are having trouble.",54,1,无,0,1,0,0,1,0,1,0,0,,,,,,,,,,,,
80,random,16267,C.Yvon,Clovermoss,"Hello, How do you do? I forgot my password and have only been able to retrieve my account today (after 3 years!). I want to add a wiki page for a company. What is the process like please? Thank you!","Hi writing an article on a company can be a bit difficult. As an encyclopedia, we summarize what reliable sources say about a business. We're not [WIKILINK] and our notability standards are a bit higher compared to other topics: [POLICY]. If you have a conflict-of-interest with said company, read [POLICY], as there are additional things to keep in mind. If you are being paid to edit Wikipedia, [POLICY]. Let me know if you have further questions",76,1,无,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,
81,random,34705,Bobartdiva18,Plutus,"Hello! I came across a recent Wikipedia entry for a beloved friend and mentor who passed away in 2013. This was a famous theatre actor/director. I was concerned to see that while some of the entry was factually correct, some of it was not. As a retired English professor with many publications to his credit, it is important to me to correct the errors in this entry. Any assistance or direction would be much appreciated! Gratefully, Howard Kerner",@ Can you direct me to the article you plan to work on? In the meanwhile you can plan what you want to change in your sandbox and let me take a look. — Fortune favors the curious,38,1,正面,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,
82,random,28800,Jhonthejihad,Cocobb8,"Hi, how can make my own article","@ Do you mean an article that is about you? If not, what would it be about?",17,1,无,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,
83,random,21496,Stilllookingforusernames17,EF5,"Hai! I was just curious as to the policy on changing the wording of sentences. If I see a sentence on an article that says; ""in the year __ the name of __ was changed to __,"" would I be allowed to change that wording into; ""The name of __ was changed into __ in (the year)"" Sorry if that sounds a little confusing, but I was just curious about this subject. Thanks a ton!!!!:3","No, no, you're fine! That's completely allowed, as long as the grammar you are using is readable (that should be obvious, though), but the example you gave looks great.:)",29,1,负面,0,0,1,0,1,0,0,0,0,,,,,,,,,,,,
84,random,22602,Yolaw,Sungodtemple,"Hi there! Thank you. I'm a little confused. I just created a page but it's displaying my username and not the name of the person for whom the page was created? And I hit ""publish"" but I'm not sure where it went?","I think you have inadvertently saved the edits on [POLICY], which is at. You may want to change this to a [POLICY] article. (There are instructions at [POLICY]). Happy editing.",30,1,无,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,
85,enriched,1785,Leventdev,Kvng,"I created a page for a book that is verifiable, well cited, self written, notetable and neutral. This one guy came along and said it was written by ai. Previously I did use grammerly which isn't exactly ai and I have since revised the page in my own writing. Yet I am still not able to get approval. can you please help me? I am happy to revise my work again but their is no specific suggestions or references to issues just the vague claim that I sound like ai. I really don't know how to prove other wise. I spent a whole afternoon writing this and I don't think this guy ever even read it considering his response. this is really disheartening.",@ yes I can help. Sorry you've had this experience. We don't get a lot of positive feedback about [POLICY]. The most important thing to achieve with a new article is establish [POLICY]. I have added a request for help with that to your draft ([DRAFT]). Let me know if you have any questions about how to respond.,58,1,正面,0,0,0,1,1,1,0,0,1,,,,,,,,,,,,
86,enriched,30525,PioneerBank,Reconrabbit,"I created a page for Pioneer Bank in the sandbox. I would like to make it live, please let me know how I can accomplish that.","Hello, Since it seems to be the case that you have a [POLICY] in regards to the subject of this page, I have added an ""[POLICY]"" template to the top of the page so that you might have it reviewed by another editor before publication. It is unlikely to be accepted in this state, though, as many if not all of the references used are not [POLICY] of the subject, and much of the information about branch locations and operating hours are considered to be out of the scope of Wikipedia and will likely be deleted or ignored. I advise reviewing our guidelines on what makes a [POLICY] and find information from said reliable sources that discuss Pioneer Bank. Also, you will have to change your username, since it implies that you are not editing as one person, but on behalf of the entire bank.",145,1,无,0,0,1,1,1,0,0,0,1,,,,,,,,,,,,
87,enriched,22012,Mr.Busy1993,MPGuy2824,"Hey Ruben, I'm looking to learn more about copywriting, I would love for your advice on this! If there's any tips and tricks you can give, thanks in advance","I'm not sure if you really meant [WIKILINK] (the act of writing text for the purpose of advertising). We discourage text that looks promotional on Wikipedia. If you are interested in reducing the appearance of promotional text however, then [POLICY] is a good section to read. Make sure to also read the other sections of that page that apply to the particular article that you are editing at the moment. Happy editing!",72,1,正面,1,0,0,0,1,0,0,1,0,,,,,,,,,,,,
88,random,11586,Graham Holder,Aaron Liu,"Hello, I have edited a section referencing our church location and website but I am getting a cite ref failure. The ref is OK but no test showing in the summary. I hope this makes sense. I can't revert to the previous incorrect text.","Hi there! Sorry, but this doesn't make sense. Which church and edit is this? What's the test you mean? I do not see any edit you have made; could you link me to it? Thanks in advance!",37,1,无,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,
89,enriched,33673,Rupmoy,Rambley,Hello,Hi!,1,0,无,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
90,random,11703,Ramvision1,Thebiguglyalien,Dd,"Hello, are you looking for help editing Wikipedia?",8,0,无,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,
91,random,26118,Katlegomaredi,Praseodymium-141,Hello. How can I update information about myself on Wikipedia?,"Hello, and welcome to Wikipedia! To change your user preferences, go to.",12,1,无,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,
92,random_replacement,24900,Daviditch1,Zippybonzo,"Hello, I was wondering if I am an actor with IMDb credits in movies and TV, can a wikipedia page be created without my consent?","@, yes it can. Thanks, (he him)",7,,,,,,,,,,,,,,,,,,,,,,,
93,random,2423,Capt rainbowbeard,Lfstevens,"hello, Im interested in universities and schools in ireland and britain and i have noticed that several business schools in the region do not have wikipedia pages. how can i go about creating them?",Welcome to Wikipedia! Here is a good way to create new articles: [POLICY],13,1,无,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,
94,random,18324,Godfrey blessing,Ferien,Hello oo,"Hi, welcome to Wikipedia, let me know if you need any help:)",12,0,无,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,
95,random_replacement,1311,Dragonhunter429,Ritchie333,"hi, i would like to create an article about odins valkyries but i do not know where to start, can you help me? thank you for your time and dedication","The existing article, [WIKILINK] would be a suitable place to start. As far as I can tell, the principal contributor to the article, who can help with source material is Bloodofox but he seems to have quit Wikipedia.",38,,,,,,,,,,,,,,,,,,,,,,,
96,enriched,28361,Gardendcs,Grapefanatic,"Hi! I submitted an article for view. I am a member and have volunteered at Gibbs Gardens, not sure if that is a conflict of interest to disclose. the concept of 'conflict of interest' is confusing. there is so much more I could say but worked hard to keep things neutral and fact based and have lots of sources/citations. Any feedback is welcome. Thank you","Taken from [POLICY], Conflict of interest (COI) editing involves contributing to Wikipedia about yourself, family, friends, clients, employers, or your financial and other relationships. Any external relationship can trigger a conflict of interest. Someone having a conflict of interest is a description of a situation, not a judgment about that person's opinions, integrity, or good faith. There are two ""types"" of COI; the first type is general (which is what was just described), and the second type is paid COI. Paid COI when you are being paid to edit an article.",91,1,无,0,1,1,1,1,0,0,0,0,,,,,,,,,,,,
97,enriched,11649,Dogmuncher99,Gommeh,Hello what should I do for this,What do you want to change about it?,8,1,无,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
98,enriched,38466,Jefferybackjely,Justiyaya,how do i make an article,"Hi @, please see [HELP_PAGE].",5,1,无,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,
99,enriched,16407,IndyCar1020,Clovermoss,"Hi, I see you're listed as my mentor. I've started editing the China article, I feel like this is a sensitive area. I'm making edits in good faith, how should I conduct myself? Do I need to talk about changes in the Talk section first? It doesn't seem other users do that. Just thought I would ask. Thank you.","Hi. Welcome to Wikipedia. If you're just doing stuff like fixing typos [LINK] there's no need to ask on the talk page if that's okay. You're right that China is an article that might have some more controversial subject matter, so if you ever try to make bigger changes, there's something called [POLICY]. This is also a process that's good to follow in general because it encourages people to work together and find a common ground. Is that useful or do you want me to be more specific with anything?",90,1,正面,1,0,0,0,1,0,0,1,0,,,,,,,,,,,,
100,random,12897,ChueneB,Eddie891,Hi how do I create a profile and citation?,"Hi @, you can follow the [POLICY] to create an article! To add a citation, use tags like this: text of the citation would be a citation: text of the citation. It is even easier to edit using the Visual Editor, which is just a 'what you see is what you get' interface. You should be able to navigate to that by clicking a button in the top right corner when you are editing.",74,1,无,0,0,0,0,1,0,1,0,0,,,,,,,,,,,,
101,enriched,24302,MallardHunter,S-Aura,Hey there! My article on Chris Dorsey was denied because it lacked proper citations. I'm sure this is a pretty normal mistake so I had really gone through and added a bunch of links but it still didn't work. What am I doing wrong here?,Kindly try to fix reference formatting than resubmit.,8,1,负面,0,1,0,1,1,0,0,0,0,,,,,,,,,,,,
102,enriched,20665,Calvinn5,ARoseWolf,How do I create an article?,Welcome to my talk page. I have posted links to your talk page that will help you understand how to write and article. If you have further questions please let me know.,32,1,无,0,0,0,0,1,0,0,1,1,,,,,,,,,,,,
103,enriched,35085,GaylaKH,CFA,"I have prepared my submission in my sandbox and hit PUBLISHED. How do I submit it for through the Articles for Creation (AfC) process, which allows editors to review and approve it for publication. I couldn't find a banner that says ""Submit your draft for review"" to click on and submit it.","Hi, someone has added the blue submission button to. You can now click it to submit your draft for review. You might also be interested in reading [POLICY]. Happy editing",30,1,无,0,0,1,1,1,1,0,1,0,,,,,,,,,,,,
104,enriched,22344,Dhruvit.valambhiya,Sungodtemple,Hi,Hello!,1,0,无,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
105,random,10309,ArtistLed,PerfectSoundWhatever,"Hi, I have contributed some information about my art practice in a new article. Please let me know if you have any suggestions or recommendations for the same. Thank you.","Hey, sorry for the untimely reply. It's strongly discouraged to write [POLICY] or something you have a close connection to. Your article should be created instead at the [POLICY]. Then, it can be submitted as a draft. If accepted, it becomes a proper article. There is no guarantee it will be accepted. If you would like me to change the article to a draft and submit it, please tell me so. Here are some critiques of the article: The article by Julia Hones should be removed. You need to also remove the material in the article that it references. It is published on blogspot and generally unreliable due to being [POLICY]. Remove the external link to your book (Gaia’s Own). See [POLICY] for why. I have adjusted your references section to be properly formatted. What is the pdf? It should probably be removed. Make sure you are not writing in a promotional tone. (see [POLICY], [POLICY]) — (; )",159,1,无,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,
106,random,7584,AndrewJHerbert,Usernamekiran,"Hi, I uploaded some photos a while back but have forgotten the filenames. Is there a way I can find them? Thanks. Andrew.","Hello. For English Wikipedia, you can see it at, but you have no uploads here. However, you have one upload on Wikimedia commons, it can be seen at [WIKILINK].",29,1,无,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,
107,random,11993,RoyRodriguezEscultor,Idoghor Melody,"Hello Comr, I trust you're doing well. I'm creating this page on behalf of a local artist. Are there any tips or guidelines I should follow? I appreciate your comments!","Hello @, welcome to Wikipedia. Before starting a new article... Please review [POLICY]. In short, the topic of an article must have already been the subject of publication in [POLICY], [POLICY], entirely [POLICY] sources that treat the topic in substantive detail. They might be books, newspapers, magazines, peer-reviewed scholarly journals and similarly high-quality websites. Information on Wikipedia must be [POLICY]; if no reliable [POLICY] sources can be found on a topic, then it should not have a separate article. Please [POLICY] Wikipedia first to make sure that an article does not already exist on the subject. Generally, an article should closely follow Wikipedia policies and guidelines, specially: [POLICY] [POLICY] [POLICY] An [POLICY] is available to help you create an article through the [POLICY] process, where it will be reviewed and considered for publication",133,1,无,1,1,1,0,1,0,0,1,0,,,,,,,,,,,,
108,enriched,28617,Ballinderry-Michael,AlphaBetaGamma,"Hello. For the moment I have no questions. I signed up to remove the word ""Puppet"" from Ebrahim Rasool's portrait - but someone else did that while I was creating my account! I'll consult you first before making any future edits.","Hello, welcome!:)",2,1,无,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,
109,enriched,3262,Spicesavant,Shellwood,"Hi there! I would like to set up a neutral, fact-based Wikipedia page for my company. I want to properly disclose any conflict of interest to make sure everything is above board. Can you help me understand the best way to do this?",Read this:[POLICY].,2,1,无,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,
110,random,32457,MattStrube,CFA,"Hello, can i delete an old revision? I'd like to remove the first version from the history","Hi, and welcome to Wikipedia! Administrators are able to hide revisions using a process called [POLICY]. The criteria for doing so is [POLICY] and any administrator [WIKILINK] is willing to handle requests. If the material is sensitive information, then you should directly contact instead. Happy editing",46,1,无,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,
111,random,27523,Ntokozo Mbuli,ARandomName123,How do i add pictures,"Hello @! To add an image, just click on the ""Insert"" button on the toolbar at the top of the page. The first option in the dropdown menu should be ""Images and Media."" When uploading, please ensure that the image is released under a [POLICY]. Please see [HELP_PAGE] for more information, and a step-by-step guide. Happy new year! Ping me!",60,1,无,0,0,0,0,1,0,1,0,0,,,,,,,,,,,,
112,random,29117,Bharath yerukola,Seawolf35,"Hello, i want to edit something articles actually but can you guide me the rules for it to edit",@ Please see [HELP_PAGE].,4,1,无,1,0,1,0,1,0,0,0,0,,,,,,,,,,,,
113,enriched,35169,Abdulkabeer19,~delta,how do i create a new article?,"Hi @, welcome to Wikipedia and happy editing! To learn how to write an article please see [POLICY] which lists out instructions for doing so. Best, (delta • • )",30,1,无,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,
114,random,19099,Suzi harrison,JavaHurricane,How do I get back to seeing about Jason Priestly,I didn't quite get you; could you elaborate on your query?,11,1,无,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,
115,random,5260,SUGIRA Erasto,Gråbergs Gråa Sång,hi can i put AI in my html code,"@ Sorry, I have no idea. Try [POLICY].",8,1,无,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,
116,random,27264,Midnight Starwatcher,Cremastra,how to exit editing,"If you want to save your changes to a page, press the ""publish changes"" button. If you want to exit the editing dialogue and discard your changes, you can just close the tab or hit the back button on your browser.",41,1,无,0,0,0,0,1,0,1,0,0,,,,,,,,,,,,
117,enriched,35684,Helenspeed,Zoozaz1,How do i submit for editor review?,"I've submitted it for review for you. However, the article will be not be accepted unless you add reliable [POLICY], rather than primary ones, to demonstrate [POLICY].",27,1,无,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,
118,random,10709,Avuyile mango,Wugapodes,Hello I would like to know how can I post or share my lesson,"Hi, thanks for the question! Could you say more about what kind of lesson you're trying to contribute? In general, Wikipedia is not a how-to guide, so you probably will need to post it elsewhere. We have sister websites which do accept courses and books, so if you could tell me more I could try and point you to one of those.",62,1,无,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,
119,enriched,36706,Onuagbaka,Bagwe Neza,"Good morning sir, please sir I will like you to guide me on how to write and edit on biography of towns, villages and cities. I will be pleased if you guide me on it. Thanks","Good morning @, To get started: Improve existing pages first to get familiar with it before creating new ones. Use reliable sources (books, news, official statistics) to support your information. Write in a neutral tone and avoid opinions or promotional language. To find an existing page, search for it using the Wikipedia search bar. Open the page, and you will see the edit option at the top. After editing, click “Publish changes”, and remember to write a short note in the edit summary explaining what you changed. You’re welcome to ask anytime you run into a challenge.",97,1,无,1,0,0,0,1,0,1,1,0,,,,,,,,,,,,
120,random,1940,Vishwanathshankar123,Mujinga,hi im vishwanath. i would like to know how to start editing. could u pls help me,@ Sure! I'll put some helpful links on your talkpage at,11,1,无,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,
121,random,106,MuhammedMustafaBartuWikiMaster,Dreamyshade,"Can you help for spelling, grammar, and the clarity of the text of TV5 (Philippine TV network)?",Hi! I responded on your talk page.,7,1,无,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,
122,enriched,4190,Gyoergy Pecsi,Mx. Granger,"Hi, my account is new, but I'm using Wikipedia for years now and of course, I'm donor as well... I'm living in Strathmore, Alberta, Canada: [LINK]. I would like to ask how can I update the ""official"" photos in the article? That photo had been taken in 1974, the grain elevators demolished in the 1980s... So they are no longer exist. I took some photos about a year ago about the new town hall. And: since than the town has new a logo, so I would like to replace the old flag not is use since the 2000s.","Hi, thanks for the message. You can upload the photos you took to [WIKILINK], then add them to the article by editing it. Feel free to replace the current photo in the article ([WIKILINK]) with a more up-to-date one. The flag is a bit more complicated. Since you presumably don't hold the copyright on that image, you should go to [POLICY] and choose ""Upload a non-free file"", then follow the instructions. Once it's uploaded, edit the article and replace the old flag. Please let me know if you have any questions about this process. I know it can seem complicated at first. You can also find more information at [POLICY].",110,1,无,0,0,0,0,1,0,1,0,0,,,,,,,,,,,,
123,enriched,28410,Jayla2606,LuniZunie,Wiki blocked me from editing,"@ What do you mean, how are you blocked? What does it say?",13,1,无,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,
124,enriched,5530,NOLALADY504,Jeffrey R. Clark,"Hi! I would like help publishing an article about artist Destin Conrad. I created a draft, but it was swiftly deleted. I've reached out to the deleter to see if there was a way to recover all the data I entered. If I am able to recover the data entered, would love your feedback on how to make sure it get's approved/published once I decide to submit.","@ Seeing as the [DRAFT] in question was deleted under [POLICY] Criteria for speedy deletion its a safe bet that what ever you had written was in the form of advert or promotion of the topic instead of an encyclopedia article on the subject. I would advise a complete rewrite, with which I would be more then happy to help you with.",62,1,正面,0,1,1,1,1,0,0,0,0,,,,,,,,,,,,
125,random,34064,Adamkinn,Rusty Cat,What do I have to do to get my article published,@: It appears that you have managed to get your draft submitted. Do you still require assistance?,17,1,无,0,0,0,1,1,1,0,0,0,,,,,,,,,,,,
126,enriched,3048,JochemVDS,Alaexis,"Hey Hey! This might be quite something: I want to be transparent and let you know that I got the task as intern at Armada Music to have a look on how to change their Wikipedia page to include accurate and not outdated pictures and information. I've heard that as of now the last intern spent 6 months and was unable to figure out how to change things, I did a lot of digging and research and discovered I had to be auto approved by making 10 edits to upload pictures. Some questions I had before I get started on changing the Armada Music wikipedia page to make it more accurate and non biased in terms of information: 1. Do my sources have to come from independent sources or can I refer to information that is presented on the Armada Music Website? 2. It mentions that pictures have to be changed to include licensing information? what does this mean precisely? 3. Is it considered a conflict of interest or bad practice that I change the Wikipedia page simply because I am an intern there? The information that is currently on their page is incredibly outdated and simply false, they don't wish for the page to be extremely detailed they just want it to be accurate and portray some simple information about who they are since Wikipedia is a front runner in terms of information sources. 4. What are some advices for me you might have when it comes to changing a page of a larger company entity such as Armada? My apologies for all of this spam, let me know if you're capable of helping me out or not!:D","Hi @, I just realised I haven't answered your questions, I'm sorry. Are they still relevant?",16,1,无,1,1,1,0,1,0,0,0,0,,,,,,,,,,,,
127,random,32496,Fossholl,Rusty Cat,"Hey Rusty! I'm trying to make a Wikipedia page for a business I work for - obviously there are quite a few pitfalls that I can run into along the way... what would be the best course of action for our business to have a page that is likely to be approved? If the information provided is about the business themselves, what references could I be using to make it appropriate for Wikipedia?","@: Our [POLICY] and [POLICY] are in-depth are what constitutes a ""notable"" business. As reviewers said on your draft article, we require in-depth and independent [POLICY]. One of the main [POLICY] is adding sources that merely mention the topic. If you need help finding sources, see [HELP_PAGE]. Should you have more questions, feel free to ask me.",57,1,无,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,
128,random,18284,IhsanullahUsaman,Ferien,im a lone boy,"Hi, welcome to Wikipedia. I don't really understand your request. If you need any help, please let me know.",19,0,无,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,
129,random,36715,Balsam Cottonwood (mentee),Balsam Cottonwood,This is a test.,This is a reply (obviously). 🌳 ' ✝,8,0,无,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,
130,random,912,Vojo0311,Qcne,"Hello, thank you for being assigned as my mentor. I have a draft biography in my sandbox with a disclosed conflict of interest and a pending request for review. As this is my first article draft, I wanted to ask if you could briefly advise whether the draft is on the right track, or if there is anything obvious I should adjust while waiting for a reviewer. Thank you for your time and help. Best regards","Hi @. Thank you for the question, and welcome to Wikipedia. Thank you for disclosing the Conflict of Interest. Unfortunately, as this is the English Wikipedia we can only accept drafts written in the English language. Please provide a high-quality English translation, avoiding [POLICY] (like Google Translate). If you prefer to write in your own language, look for the Wikipedia project in your language on the [LINK]. On the English Wikipedia, you must place an inline citation directly after any material about living people. Please edit your draft to support your statements with inline citations. Learn how to create inline citations in the VisualEditor: [HELP_PAGE]. Let me know if you have any more questions! '",115,1,无,0,0,1,1,1,1,0,1,0,,,,,,,,,,,,
131,random,22722,Usmanranka,Sungodtemple,How can I create stories,"Hi, sorry for the late reply. I'm not quite sure what you mean by 'stories' - you don't have to edit Wikipedia to write stories?",25,1,无,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,
132,random,15197,Anonymous - Lorde,Em-mustapha,How can I start editing?,Read the note on your talk page.,7,1,无,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,
133,enriched,27682,Pj599,ARandomName123,hello i am trying to learn how to add image on? wold you be able to guide me? thks in advance,"@: Hi, please go to [WIKILINK], and follow the instructions there to upload it to [WIKILINK], where most Wikipedia images are stored. Once you have uploaded it, you can add it to whatever article you want by pasting in. Ping me!",41,1,无,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,
134,random,18058,Mboh Promise Nukapuh,Ferien,"Hi, how can I have a profile on Wikipedia. Where people can search and see me?","Hi, welcome to Wikipedia. You can create a userpage (equivalent to a Wikipedia profile page) by clicking that red link and starting to write. However, as you can see on [POLICY], your userpage will not appear anywhere outside Wikipedia for 90 days at least. Please also keep the [POLICY] in mind. Let me know if you need any more help. Thanks",61,1,无,0,0,0,0,1,1,1,1,0,,,,,,,,,,,,
135,enriched,6650,SundayKaduna,GoingBatty,How to i post a wiki,@: There's a wealth of information for you at [HELP_PAGE]. Pay close attention to the sections on gathering sources and citing sources. (I see that the draft you have on has no sources identified.) Happy editing!,36,1,无,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,
136,enriched,15211,King Dimpho Dialwa,Em-mustapha,Hello I want to add a picture,"Hi, read this [POLICY].",4,1,无,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
